deliverableId,claimId,jsonPath,kind,status,attributionHint,inExpectedSourceFile,bestScore,topEvidenceFile,text
"brief","brief:17:$.proofs[2].speaker","$.proofs[2].speaker","narrative","supported","Andee Chamberlain · Texas State University","true","0.85","research/Call Transcripts/CC_Research_Texas_State_Transcript.docx","Andee Chamberlain · Texas State University"
"brief","brief:18:$.proofs[3].headline","$.proofs[3].headline","headline","supported","Phil Combs · Trane Technologies","false","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Regulatory intelligence is confirmed white space"
"brief","brief:19:$.proofs[3].oneLiner","$.proofs[3].oneLiner","headline","supported","Phil Combs · Trane Technologies","false","0.541","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","PUC docket monitoring with dollarized impact has enthusiastic practitioner demand and zero documented competitors."
"brief","brief:20:$.proofs[3].evidence","$.proofs[3].evidence","evidence_line","supported","Phil Combs · Trane Technologies","false","0.773","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Primary: Phil Combs (Trane), Andi Ault (budget before rates final). Secondary: Ohio PUC timelines, AES Ohio ~9%, PPL Pennsylvania case, BU budget-timing study."
"brief","brief:21:$.proofs[3].quote","$.proofs[3].quote","quote","supported","Phil Combs · Trane Technologies","false","0.85","research/outputs/synthesis/D7_Investor_Narrative_and_Pitch_Framework.md","The regulatory intelligence piece is super powerful. I don’t know anything else that does that."
"brief","brief:22:$.proofs[4].headline","$.proofs[4].headline","headline","supported","Walt Taylor · Panda Restaurant Group","false","0.85","research/outputs/synthesis/00_decision_brief.md","Arcadia’s gap is structural and time-bounded"
"brief","brief:23:$.proofs[4].oneLiner","$.proofs[4].oneLiner","headline","supported","Walt Taylor · Panda Restaurant Group","false","0.523","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","A well-funded AI rival is corporate/API-first, with no higher-ed footprint and a migration-heavy 12–24 months — the window to build an HE moat."
"brief","brief:24:$.proofs[4].evidence","$.proofs[4].evidence","evidence_line","supported","Walt Taylor · Panda Restaurant Group","false","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","New intelligence confirms Arcadia has zero documented higher education customers after 14 months of enterprise sales. Their UX is a dashboard and data API — not a natural language interface for energy managers. Arcadia is simultaneously selling new enterprise accounts while migrating existing customers off a legacy Urjanet/Arc platform — job postings confirm this is the Senior PM's primary responsibility. Their attention is divided for 12–24 months."
"brief","brief:25:$.proofs[4].quote","$.proofs[4].quote","quote","supported","Walt Taylor · Panda Restaurant Group","false","0.85","research/outputs/02_quote_bank.md","I think if you could ask that question. I can help answer this question instead of going, downloading the bills, reviewing the bills"
"brief","brief:26:$.proofs[4].speaker","$.proofs[4].speaker","narrative","supported","Walt Taylor · Panda Restaurant Group","true","0.85","research/Interview Summary Documents/Clear_Current_Interview_Summary_Walt_Taylor_Panda.docx","Walt Taylor · Panda Restaurant Group"
"brief","brief:27:$.openQuestions[0].headline","$.openQuestions[0].headline","headline","supported","","","0.85","research/outputs/secondary/agents/s05_Carlos_Mendez.md","Has a single dollar actually been recovered?"
"brief","brief:28:$.openQuestions[0].why","$.openQuestions[0].why","narrative","supported","","","0.453","research/outputs/00_master_corpus.txt","Research cannot verify whether pilot-stage findings have become documented utility credits or refunds. Investors and procurement will ask."
"brief","brief:29:$.openQuestions[0].howToClose","$.openQuestions[0].howToClose","narrative","supported","","","0.464","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Audit pilots for one dispute supported by Clear Current output with documented recovery and permission to cite."
"brief","brief:30:$.openQuestions[1].headline","$.openQuestions[1].headline","headline","supported","","","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Will IT security gate adoption, and when?"
"brief","brief:31:$.openQuestions[1].why","$.openQuestions[1].why","narrative","supported","","","0.546","research/outputs/00_master_corpus.txt","Trane internally blocks AI tools despite advocate demand. SOC 2 is the cited enterprise threshold, but no CC-specific review is in the corpus."
"brief","brief:32:$.openQuestions[1].howToClose","$.openQuestions[1].howToClose","narrative","supported","","","0.584","research/outputs/synthesis/00_decision_brief.md","Confirm SOC 2 status, start Type II (or Type I bridge), and ask pilots early whether IT must approve before data share."
"brief","brief:33:$.openQuestions[2].headline","$.openQuestions[2].headline","headline","supported","","","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","What is the corporate multi-site buyer voice?"
"brief","brief:34:$.openQuestions[2].why","$.openQuestions[2].why","narrative","supported","","","0.793","research/outputs/synthesis/00_decision_brief.md","Strong higher-ed and channel evidence — but no completed interview with a corporate multi-site energy buyer on paying standalone vs. processor-channel."
"brief","brief:35:$.openQuestions[2].howToClose","$.openQuestions[2].howToClose","narrative","supported","","","0.661","research/outputs/00_master_corpus.txt","Two interviews minimum (one processor-dependent, one not) on willingness to pay for an analytical layer vs. embedding."
"brief","brief:36:$.strategicDecisions.beachhead","$.strategicDecisions.beachhead","narrative","supported","","","0.498","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Higher education — research universities with district energy, large meter count, EnergyCAP in place, separate finance and ops. Pain, incumbent weakness, calendar, and chargeback moat all align; healthcare / CRE / corporate lack the same combined proof or speed."
"brief","brief:37:$.strategicDecisions.firstModule","$.strategicDecisions.firstModule","narrative","supported","","","0.516","research/outputs/00_master_corpus.txt","Regulatory intelligence inside Rate Analyst (PUC monitoring, dollarized impact, push alerts). Only uncrowded feature with named buyer timing (March budget lock) and no named competitor. Billing detection is the hook but not unique; chargeback is moat, not entry."
"brief","brief:38:$.strategicDecisions.window","$.strategicDecisions.window","narrative","supported","","","0.582","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","12–24 months while Arcadia focuses on Urjanet/Arc migration and corporate dashboard/API posture. Ship HE-specific chargeback and district allocation before that advantage narrows."
"brief","brief:39:$.whatChangesIfWrong[0]","$.whatChangesIfWrong[0]","narrative","partially_supported","","","0.405","research/outputs/synthesis/00_decision_brief.md","If universities won’t pay alongside EnergyCAP: drop replacement framing, sell an intelligence layer on top, and clarify RFP/discretionary-buy path or face 6–12-month procurement drag."
"brief","brief:40:$.whatChangesIfWrong[1]","$.whatChangesIfWrong[1]","narrative","supported","","","0.607","research/outputs/00_master_corpus.txt","If regulatory intelligence is a delighter, not a trigger: lead with billing errors (with recovery proof) and demote the rate-case story to expansion."
"brief","brief:41:$.whatChangesIfWrong[2]","$.whatChangesIfWrong[2]","narrative","supported","","","0.496","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","If Arcadia exits migration faster: compress the timeline — start chargeback roadmap by month four, not after pilots."
"brief","brief:42:$.whatChangesIfWrong[3]","$.whatChangesIfWrong[3]","narrative","supported","","","0.425","research/outputs/synthesis/00_decision_brief.md","If Arcadia permanently skips higher ed: pressure on HE may ease, but monitor hires and announcements quarterly — don’t assume."
"brief","brief:43:$.calloutCaveats[0]","$.calloutCaveats[0]","narrative","partially_supported","","","0.364","research/outputs/00_master_corpus.txt","Do not circulate unaudited aggregate “identified savings” figures externally. Frame detection vs. customer-owned dispute/recovery honestly."
"brief","brief:44:$.calloutCaveats[1]","$.calloutCaveats[1]","narrative","supported","","","0.75","research/outputs/synthesis/00_decision_brief.md","The “80% overpaying” statistic is flagged unverifiable in the claim audit and tied to a vendor with financial interest. Prefer FERC / RI PUC / Harvard enforcement framing."
"brief","brief:45:$.calloutCaveats[2]","$.calloutCaveats[2]","narrative","supported","","","0.546","research/outputs/synthesis/00_decision_brief.md","Do not imply unattended auto-recovery. CC Engine maturity is assists manual completion; claiming otherwise is diligence and misrepresentation risk."
"d1","d1:0:$.tagline","$.tagline","narrative","supported","","","0.695","research/outputs/00_master_corpus.txt","What makes the phone ring for commercial energy teams — and when Clear Current must already be in the room."
"d1","d1:1:$.openingProblem","$.openingProblem","narrative","supported","","","0.434","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Commercial energy managers do not go looking for problems; problems find them, and facilities leaders are buried in day-to-day emergencies rather than proactive monitoring. A product that waits for logins misses the window. This map names the forced-action moments when alerts, dollar impact, and calendar-aware outreach matter most. Triggers cluster by vertical, season, and event type so product push logic and sales timing can align to peak receptivity."
"d1","d1:2:$.tldrBullets[0]","$.tldrBullets[0]","tldr","partially_supported","","","0.386","research/outputs/00_master_corpus.txt","Buyers are pulled into problems; they are not browsing for another dashboard — meet them in forced-action moments."
"d1","d1:3:$.tldrBullets[1]","$.tldrBullets[1]","tldr","partially_supported","","","0.327","research/outputs/00_master_corpus.txt","Login-first products miss the window; push alerts, dollar impact, and calendar-aware outreach win receptivity."
"d1","d1:4:$.tldrBullets[2]","$.tldrBullets[2]","tldr","supported","","","0.68","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Triggers cluster by vertical, season, and event so product logic and sales timing can align."
"d1","d1:5:$.triggers[0].name","$.triggers[0].name","narrative","supported","Andee Chamberlain · Texas State","false","0.708","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Monthly bill shows unexplained cost spike"
"d1","d1:6:$.triggers[0].seasonality","$.triggers[0].seasonality","narrative","supported","Andee Chamberlain · Texas State","false","0.729","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Year-round; Jun–Aug and Jan–Feb highest"
"d1","d1:7:$.triggers[0].quote","$.triggers[0].quote","quote","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","We had a weird multiplier happen in one of our bills. They listed 35,000 gallons instead of 3,500 — a 10× error in a pattern that should have been obvious."
"d1","d1:8:$.triggers[0].whyItMatters","$.triggers[0].whyItMatters","narrative","supported","Andee Chamberlain · Texas State","false","0.567","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Highest-volume corpus trigger. Anomaly and dollar impact must surface before the PDF is opened."
"d1","d1:9:$.triggers[1].name","$.triggers[1].name","narrative","supported","Don Johnson · Trane Technologies","false","0.68","research/SECONDARY DATA/Claim Verification Report  Commercial Energy Management Statistics VOLUME 3.md","Demand charge disconnected from perceived usage"
"d1","d1:10:$.triggers[1].seasonality","$.triggers[1].seasonality","narrative","supported","Don Johnson · Trane Technologies","false","0.638","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Aug–Sep post-summer; Feb–Mar post-winter"
"d1","d1:11:$.triggers[1].quote","$.triggers[1].quote","quote","supported","Don Johnson · Trane Technologies","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Most customers don’t know what rate structure they’re on. They don’t know if they have a demand ratchet. They just pay the bill. Even hospitals."
"d1","d1:12:$.triggers[1].whyItMatters","$.triggers[1].whyItMatters","narrative","supported","Don Johnson · Trane Technologies","false","0.638","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Structural information asymmetry converts when you monetize and explain the mechanism on the bill."
"d1","d1:13:$.triggers[2].name","$.triggers[2].name","narrative","supported","John Culver · AdventHealth","false","0.68","research/outputs/00_master_corpus.txt","Wrong account, address, or meter attribution"
"d1","d1:14:$.triggers[2].quote","$.triggers[2].quote","quote","supported","John Culver · AdventHealth","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Bills are not always matching the addresses of our sites. Bills for one hospital campus are being paid by another."
"d1","d1:15:$.triggers[2].whyItMatters","$.triggers[2].whyItMatters","narrative","supported","John Culver · AdventHealth","false","0.68","research/outputs/synthesis/D5_Market_Opportunity_Heatmap.md","Site-to-invoice association is the automation prerequisite for everything else at multi-site scale."
"d1","d1:16:$.triggers[3].name","$.triggers[3].name","narrative","supported","John Culver · AdventHealth","true","0.85","research/Interview Summary Documents/Clear_Current_Interview_Summary_AdventHealth.docx","Tax exemption not applied on utility bills"
"d1","d1:17:$.triggers[3].quote","$.triggers[3].quote","quote","supported","John Culver · AdventHealth","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Non-profit tax exemptions — a real billing error category that goes undiscovered for months because nobody is systematically checking the tax line."
"d1","d1:18:$.triggers[3].whyItMatters","$.triggers[3].whyItMatters","narrative","supported","John Culver · AdventHealth","false","0.595","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Recoverable dollars and credit claims close the loop from identified error to realized savings."
"d1","d1:19:$.triggers[4].name","$.triggers[4].name","narrative","supported","Sean Sevy · Houston Methodist","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Power-factor penalty without explanation"
"d1","d1:20:$.triggers[4].quote","$.triggers[4].quote","quote","supported","Sean Sevy · Houston Methodist","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","We’re seeing power factor readings of 79–81% at one of our campuses. Below where we should be — but I’m not sure if it’s equipment or meter malfunction."
"d1","d1:21:$.triggers[4].whyItMatters","$.triggers[4].whyItMatters","narrative","supported","Sean Sevy · Houston Methodist","false","0.51","research/outputs/00_master_corpus.txt","Even sophisticated buyers need a fast second opinion separating billing error from operations."
"d1","d1:22:$.triggers[5].name","$.triggers[5].name","narrative","supported","Don Johnson · Trane Technologies","false","0.68","research/outputs/primary/agents/08_David_Okonkwo.md","Ratchet locks after unexpected demand event"
"d1","d1:23:$.triggers[5].seasonality","$.triggers[5].seasonality","narrative","supported","Don Johnson · Trane Technologies","false","0.567","research/outputs/00_master_corpus.txt","Aug–Sep after spike; cost persists 12 months"
"d1","d1:24:$.triggers[5].quote","$.triggers[5].quote","quote","supported","Don Johnson · Trane Technologies","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","If a customer hits a high demand in July, they may pay for that demand for the next 12 months. Most don’t know until the bill is already high."
"d1","d1:25:$.triggers[5].whyItMatters","$.triggers[5].whyItMatters","narrative","partially_supported","Don Johnson · Trane Technologies","false","0.34","research/outputs/00_master_corpus.txt","High-dollar and poorly understood. Modeling and warnings beat post-bill surprise."
"d1","d1:26:$.triggers[6].name","$.triggers[6].name","narrative","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/00_master_corpus.txt","Utility dispute with no historical documentation"
"d1","d1:27:$.triggers[6].quote","$.triggers[6].quote","quote","supported","Andee Chamberlain · Texas State","true","0.85","research/Call Transcripts/CC_Research_Texas_State_Transcript.docx","We had someone doing our bill processing for 10 to 15 years and she recently left, so we’re scrambling a little."
"d1","d1:28:$.triggers[6].whyItMatters","$.triggers[6].whyItMatters","narrative","partially_supported","Andee Chamberlain · Texas State","false","0.319","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Archived bills and patterns are the evidence base for disputes — and continuity after turnover."
"d1","d1:29:$.triggers[7].name","$.triggers[7].name","narrative","supported","Marc Spieler · NVIDIA","false","0.708","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Retail supplier transition billing overlap or gap"
"d1","d1:30:$.triggers[7].seasonality","$.triggers[7].seasonality","narrative","supported","Marc Spieler · NVIDIA","false","0.638","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Contract anniversaries; Q4 budget cycle"
"d1","d1:31:$.triggers[7].quote","$.triggers[7].quote","quote","supported","Marc Spieler · NVIDIA","false","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","ERCOT has 100+ REPs, an 87% commercial switching rate, and overlapping billing cycles during supplier transitions."
"d1","d1:32:$.triggers[7].whyItMatters","$.triggers[7].whyItMatters","narrative","supported","Marc Spieler · NVIDIA","false","0.51","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Structural complexity in home markets like ERCOT is a repeatable wedge for transition-error detection."
"d1","d1:33:$.triggers[8].name","$.triggers[8].name","narrative","supported","John Culver · AdventHealth","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","TOU tier misclassification on the bill"
"d1","d1:34:$.triggers[8].seasonality","$.triggers[8].seasonality","narrative","supported","John Culver · AdventHealth","false","0.68","research/Interview Summary Documents/Clear_Current_Interview_Summary_Roger_Goldstein_Panda.docx","Year-round; costliest in summer peak"
"d1","d1:35:$.triggers[8].quote","$.triggers[8].quote","quote","supported","John Culver · AdventHealth","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","On-peak, off-peak, discounted off-peak, super off-peak, extreme on-peak — all actual names. Wrong tier and nobody catches it without line-by-line review."
"d1","d1:36:$.triggers[8].whyItMatters","$.triggers[8].whyItMatters","narrative","supported","John Culver · AdventHealth","false","0.472","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Automated tariff cross-check beats manual workbook lookup at scale."
"d1","d1:37:$.triggers[9].name","$.triggers[9].name","narrative","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/00_master_corpus.txt","Water or wastewater consumption anomaly"
"d1","d1:38:$.triggers[9].seasonality","$.triggers[9].seasonality","narrative","supported","Andee Chamberlain · Texas State","false","0.68","research/outputs/00_master_corpus.txt","Summer irrigation; leaks year-round"
"d1","d1:39:$.triggers[9].quote","$.triggers[9].quote","quote","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","They listed 35,000 gallons instead of the typical 3,500 gallons."
"d1","d1:40:$.triggers[9].whyItMatters","$.triggers[9].whyItMatters","narrative","supported","Andee Chamberlain · Texas State","false","0.661","research/outputs/00_master_corpus.txt","Multi-utility anomaly detection expands the platform beyond electrons alone."
"d1","d1:41:$.triggers[10].name","$.triggers[10].name","narrative","supported","Don Johnson · Trane Technologies","false","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Supply contract 9–12 months from expiration"
"d1","d1:42:$.triggers[10].quote","$.triggers[10].quote","quote","supported","Don Johnson · Trane Technologies","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","The contract renewal window is the moment when customers actually pay attention to their energy costs."
"d1","d1:43:$.triggers[10].whyItMatters","$.triggers[10].whyItMatters","narrative","supported","Don Johnson · Trane Technologies","false","0.618","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Known calendar event with a finite decision window suits Deal Center + renewal alerts."
"d1","d1:44:$.triggers[11].seasonality","$.triggers[11].seasonality","narrative","supported","Andee Chamberlain · Texas State","false","0.85","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Higher-ed Jan–Mar; corporate Q3–Q4"
"d1","d1:45:$.triggers[11].quote","$.triggers[11].quote","quote","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Our budget is submitted in March, but the City of Austin’s rate changes are often not finalized until after we’ve already submitted. So we’re guessing."
"d1","d1:46:$.triggers[11].whyItMatters","$.triggers[11].whyItMatters","narrative","supported","Andee Chamberlain · Texas State","false","0.695","research/outputs/00_master_corpus.txt","Budget-vs-actual and rate intelligence close the gap finance cannot defend without data."
"d1","d1:47:$.triggers[12].name","$.triggers[12].name","narrative","supported","Andi Ault · UT Austin","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Natural gas purchasing window (spring)"
"d1","d1:48:$.triggers[12].quote","$.triggers[12].quote","quote","supported","Andi Ault · UT Austin","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","We buy $20 million in natural gas every year plus or minus depending on pricing. That’s a proactive decision we make in the spring."
"d1","d1:49:$.triggers[12].whyItMatters","$.triggers[12].whyItMatters","narrative","supported","Andi Ault · UT Austin","false","0.51","research/outputs/00_master_corpus.txt","Large commodity decisions need baseline data and structured comparison in a narrow season."
"d1","d1:50:$.triggers[13].name","$.triggers[13].name","narrative","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","New fiscal year reset and reconciliation"
"d1","d1:51:$.triggers[13].quote","$.triggers[13].quote","quote","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Our fiscal year is September 1 through August 31. That’s when everything resets — budgets, building assignments, everything."
"d1","d1:52:$.triggers[13].whyItMatters","$.triggers[13].whyItMatters","narrative","supported","Andee Chamberlain · Texas State","false","0.744","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Portfolio onboarding and prior-year actuals anchor the new-year baseline."
"d1","d1:53:$.triggers[14].name","$.triggers[14].name","narrative","supported","Andee Chamberlain · Texas State","false","0.567","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Scheduled generator test risks summer peak"
"d1","d1:54:$.triggers[14].quote","$.triggers[14].quote","quote","supported","Andee Chamberlain · Texas State","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","We test emergency generators at 80% load bank during summer — required for accreditation. But we’re not always thinking about what that does to our peak demand."
"d1","d1:55:$.triggers[14].whyItMatters","$.triggers[14].whyItMatters","narrative","supported","Andee Chamberlain · Texas State","false","0.425","research/outputs/00_master_corpus.txt","Proactive calendar insert prevents a scheduled event from becoming a 12-month ratchet problem."
"d1","d1:56:$.triggers[15].name","$.triggers[15].name","narrative","supported","Secondary research · industry pattern","false","0.638","research/Call Transcripts/CC Research - Roger Goldstein, PANDA Restaurants.txt","New energy manager or expanded role"
"d1","d1:57:$.triggers[15].primarySource","$.triggers[15].primarySource","narrative","supported","Secondary research · industry pattern","false","0.638","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Secondary research · industry pattern"
"d1","d1:58:$.triggers[15].quote","$.triggers[15].quote","quote","supported","Secondary research · industry pattern","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Industry pattern: new hire evaluates existing vendor relationships in first 60–90 days."
"d1","d1:59:$.triggers[15].whyItMatters","$.triggers[15].whyItMatters","narrative","partially_supported","Secondary research · industry pattern","false","0.364","research/outputs/00_master_corpus.txt","Secondary-only trigger in synthesis (no primary sound bite); orientation and fast answers compress time-to-value for a fresh owner."
"d1","d1:60:$.triggers[16].name","$.triggers[16].name","narrative","supported","Andi Ault · UT Austin (passing) + regulatory secondary","false","0.85","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","ESG reporting deadline approaching"
"d1","d1:61:$.triggers[16].seasonality","$.triggers[16].seasonality","narrative","supported","Andi Ault · UT Austin (passing) + regulatory secondary","false","0.68","research/outputs/00_master_corpus.txt","Q1 for calendar-year filers; rule-specific"
"d1","d1:62:$.triggers[16].primarySource","$.triggers[16].primarySource","narrative","supported","Andi Ault · UT Austin (passing) + regulatory secondary","false","0.85","research/outputs/00_master_corpus.txt","Andi Ault · UT Austin (passing) + regulatory secondary"
"d1","d1:63:$.triggers[16].quote","$.triggers[16].quote","quote","supported","Andi Ault · UT Austin (passing) + regulatory secondary","false","0.668","research/outputs/synthesis/D1_Engagement_Trigger_Map.md","Annual ESG or carbon reporting deadlines require consumption, emissions, and utility documentation that is not yet organized or audit-ready."
"d1","d1:64:$.triggers[16].whyItMatters","$.triggers[16].whyItMatters","narrative","supported","Andi Ault · UT Austin (passing) + regulatory secondary","false","0.531","research/SECONDARY DATA/Arcadia Competitive Intelligence Report.md","Audit-ready consumption and utility documentation supports disclosure workloads."
"d1","d1:65:$.triggers[17].name","$.triggers[17].name","narrative","supported","John Culver · AdventHealth","false","0.708","research/outputs/00_master_corpus.txt","Capital project needs ROI for budget committee"
"d1","d1:66:$.triggers[17].seasonality","$.triggers[17].seasonality","narrative","supported","John Culver · AdventHealth","false","0.68","research/SECONDARY DATA/CC_Research_Synthesis_Brief.docx","Healthcare Q4 planning; higher-ed Jan–Mar"
